kode_pintu	tinggi_air	kode_kota	banjir
6	0	2	0
3	1250	1	0
7	550	0	0
8	1730	0	0
9	9620	0	0
10	440	3	0
11	7160	0	0
12	1770	2	0
13	1490	2	0
14	-730	2	0
15	1360	0	0
17	2160	4	0
18	3340	3	0
19	2840	3	0
20	2090	2	0
6	0	2	0
7	540	0	0
8	1720	0	0
9	9610	0	0
10	530	3	0
11	7190	0	0
12	1780	2	0
13	1500	2	0
14	-750	2	0
15	1320	0	0
17	2180	4	0
18	3370	3	0
19	2840	3	0
20	2060	2	0
4	1000	0	0
6	0	2	0
4	1000	0	0
4	1000	0	0
5	2200	0	0
4	1000	0	0
5	2200	0	0
7	540	0	0
8	1700	0	0
9	9580	0	0
10	550	3	0
11	7110	0	0
12	1810	2	0
13	1500	2	0
14	-290	2	0
15	1310	0	0
17	2140	4	0
18	3330	3	0
19	2830	3	0
20	2070	2	0
15	1300	0	0
6	0	2	0
7	540	0	0
8	1690	0	0
9	9520	0	0
10	550	3	0
11	7060	0	0
12	1830	2	0
13	1630	2	0
14	-510	2	0
17	2090	4	0
18	3360	3	0
19	2830	3	0
20	1860	2	0
11	7070	0	0
11	7070	0	0
6	0	2	0
4	1000	0	0
5	2100	0	0
7	530	0	0
8	1680	0	0
9	9460	0	0
10	530	3	0
12	1870	2	0
13	1670	2	0
14	-330	2	0
15	1290	0	0
17	2040	4	0
18	3330	3	0
19	2840	3	0
20	2090	2	0
11	6800	0	0
6	0	2	0
7	530	0	0
8	1670	0	0
9	9250	0	0
10	510	3	0
12	1910	2	0
13	1700	2	0
14	-390	2	0
15	1270	0	0
17	2020	4	0
18	3260	3	0
19	2820	3	0
20	1940	2	0
6	0	2	0
4	1000	0	0
11	6800	0	0
5	2000	0	0
3	1050	1	0
4	1000	0	0
11	6800	0	0
5	2000	0	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
16	1200	1	0
7	520	0	0
8	1660	0	0
9	9350	0	0
10	480	3	0
12	1900	2	0
13	1690	2	0
14	-400	2	0
15	1250	0	0
17	2020	4	0
18	3340	3	0
19	2820	3	0
20	2020	2	0
6	0	2	0
7	520	0	0
8	1640	0	0
9	9210	0	0
10	450	3	0
12	1910	2	0
13	1750	2	0
14	-880	2	0
15	1240	0	0
17	2030	4	0
18	3320	3	0
19	2810	3	0
20	2050	2	0
0	-50	0	0
0	-50	0	0
0	-50	0	0
0	-50	0	0
6	0	2	0
4	900	0	0
5	2000	0	0
4	900	0	0
5	2000	0	0
11	6700	0	0
11	6700	0	0
7	510	0	0
8	1640	0	0
9	9190	0	0
10	430	3	0
12	1930	2	0
13	1770	2	0
14	-30	2	0
15	1230	0	0
16	1240	1	0
17	2080	4	0
18	3300	3	0
19	2820	3	0
6	0	2	0
7	510	0	0
8	1630	0	0
9	9130	0	0
10	410	3	0
12	1970	2	0
13	1820	2	0
14	-10	2	0
15	1230	0	0
16	1240	1	0
2	3440	1	0
17	2100	4	0
18	3310	3	0
19	2810	3	0
20	2140	2	0
20	2140	2	0
7	510	0	0
6	0	2	0
5	3450	0	0
5	3450	0	0
4	900	0	0
4	900	0	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
11	6600	0	0
8	1620	0	0
9	9040	0	0
10	400	3	0
12	2000	2	0
13	1850	2	0
14	-170	2	0
15	1220	0	0
16	1240	1	0
2	3440	1	0
17	2110	4	0
18	3290	3	0
19	2830	3	0
20	2060	2	0
7	510	0	0
16	1240	1	0
13	1870	2	0
6	0	2	0
8	1610	0	0
9	8960	0	0
10	380	3	0
12	2020	2	0
14	-230	2	0
15	1210	0	0
2	3440	1	0
17	2110	4	0
18	3290	3	0
19	2840	3	0
20	2080	2	0
6	0	2	0
5	3450	0	0
5	3450	0	0
5	3450	0	0
0	-50	0	0
7	500	0	0
8	1600	0	0
9	8760	0	0
10	360	3	0
11	6510	0	0
12	2060	2	0
13	1900	2	0
14	240	2	0
15	1190	0	0
16	1240	1	0
2	3440	1	0
17	2110	4	0
18	3270	3	0
19	2830	3	0
20	1960	2	0
6	0	2	0
0	-50	0	0
7	490	0	0
8	1590	0	0
9	8770	0	0
4	850	0	0
10	340	3	0
11	6360	0	0
12	2060	2	0
13	1900	2	0
14	-150	2	0
15	1180	0	0
16	1240	1	0
2	3440	1	0
17	2110	4	0
18	3250	3	0
19	2820	3	0
20	1930	2	0
11	6270	0	0
16	1240	1	0
6	0	2	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
1	1600	1	0
0	-50	0	0
7	490	0	0
8	1580	0	0
9	8690	0	0
4	830	0	0
10	330	3	0
12	2030	2	0
13	1900	2	0
14	130	2	0
15	1180	0	0
2	3440	1	0
17	2130	4	0
18	3220	3	0
19	2790	3	0
20	2020	2	0
19	2790	3	0
19	2790	3	0
11	6140	0	0
16	1240	1	0
6	0	2	0
0	-50	0	0
7	490	0	0
8	1570	0	0
9	8600	0	0
4	810	0	0
10	320	3	0
12	2010	2	0
13	1850	2	0
14	150	2	0
15	1160	0	0
2	3440	1	0
17	2140	4	0
18	3200	3	0
20	1970	2	0
6	0	2	0
5	2100	0	0
5	2100	0	0
5	2100	0	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
19	2700	3	0
19	2700	3	0
0	-50	0	0
7	490	0	0
8	1570	0	0
9	8510	0	0
4	800	0	0
10	310	3	0
11	6020	0	0
12	1990	2	0
13	1860	2	0
14	20	2	0
15	1160	0	0
16	1240	1	0
2	3440	1	0
17	2140	4	0
18	3220	3	0
20	2130	2	0
4	780	0	0
6	0	2	0
0	-50	0	0
7	490	0	0
8	1560	0	0
